Car Make,Car Model,Year,Mileage,Price,Fuel Type,Transmission,Color,Accident,Condition,Options/Features
Volkswagen,Golf,2019,72979.0,30254.84,Hybryda,Automatyczna,Zielony,Tak,Doskonały,"Klimatyzacja, Podgrzewane fotele, Kamera cofania"
Ford,Mondeo,2023,36469.0,102089.8,Hybryda,Manualna,Beżowy,Nie,Dobry,"Klimatyzacja, Nawigacja, Bluetooth"
BMW,X5,2020,63619.0,45361.19,Benzyna,Manualna,Niebieski,Nie,Dobry,"Klimatyzacja, Nawigacja, Bluetooth"
Hyundai,Santa Fe,2016,220887.0,46332.3,Elektryczny,Automatyczna,Niebieski,Nie,Bardzo dobry,"Klimatyzacja, Podgrzewane fotele, Kamera cofania"
Toyota,Camry,2019,148493.0,112500.87,Diesel,Automatyczna,Niebieski,Nie,Dobry,"Klimatyzacja, Elektryczne szyby, Centralny zamek"
Ford,Fiesta,2016,165197.0,29714.33,Benzyna,Manualna,Szary,Nie,Doskonały,"Tempomat, Bluetooth, Alufelgi"
Toyota,RAV4,2021,50206.0,48819.33,Elektryczny,Manualna,Beżowy,Nie,Zadowalający,"Klimatyzacja automatyczna, LED, Parktronic"
Audi,A4,2018,144654.0,72034.04,Diesel,Automatyczna,Niebieski,Nie,Bardzo dobry,"Pakiet zimowy, Hak holowniczy, Dach panoramiczny"
Volkswagen,Golf,2016,95385.0,28471.35,Diesel,Manualna,Beżowy,Nie,Dobry,"Klimatyzacja, Nawigacja, Bluetooth"
Volkswagen,Touareg,2019,126397.0,53170.04,Benzyna,Manualna,Czerwony,Nie,Bardzo dobry,"Klimatyzacja, Podgrzewane fotele, Kamera cofania"
Audi,Q5,2018,74188.0,93309.24,Hybryda,Automatyczna,Czarny,Nie,Dobry,"Pakiet zimowy, Hak holowniczy, Dach panoramiczny"
Toyota,Corolla,2020,114691.0,114276.2,Benzyna,Automatyczna,Biały,Tak,Zadowalający,"Klimatyzacja, Podgrzewane fotele, Kamera cofania"
Kia,Sportage,2017,153726.0,101047.69,Diesel,Automatyczna,Szary,Nie,Bardzo dobry,"Nawigacja, Ksenony, Skórzana tapicerka"
Skoda,Superb,2022,69880.0,79220.73,Benzyna,Manualna,Szary,Nie,Bardzo dobry,"Klimatyzacja, Nawigacja, Bluetooth"
Volkswagen,Golf,2018,64021.0,18397.43,Diesel,Manualna,Beżowy,Nie,Bardzo dobry,"Pakiet zimowy, Hak holowniczy, Dach panoramiczny"
Ford,Kuga,2021,44948.0,31605.73,Diesel,Automatyczna,Czarny,Tak,Doskonały,"Full opcja: Navi, Kamera 360, Head-up display"
Mercedes-Benz,C-Class,2018,78799.0,68121.88,Benzyna,Automatyczna,Biały,Nie,Doskonały,"Klimatyzacja, Nawigacja, Bluetooth"
Kia,Ceed,2016,213734.0,84099.18,Diesel,Manualna,Zielony,Tak,Bardzo dobry,"Full opcja: Navi, Kamera 360, Head-up display"
Toyota,Yaris,2019,142505.0,101398.03,Hybryda,Automatyczna,Beżowy,Nie,Bardzo dobry,"Nawigacja, Ksenony, Skórzana tapicerka"
Ford,Focus,2023,18073.0,63548.72,Diesel,Automatyczna,Srebrny,Tak,Doskonały,"Klimatyzacja automatyczna, LED, Parktronic"
Volkswagen,Touareg,2016,175308.0,31520.45,Elektryczny,Manualna,Czarny,Nie,Doskonały,"Full opcja: Navi, Kamera 360, Head-up display"
Renault,Captur,2023,26757.0,59895.17,Benzyna,Manualna,Srebrny,Nie,Zadowalający,"Klimatyzacja, Elektryczne szyby, Centralny zamek"
Volkswagen,Golf,2022,55679.0,93024.3,Diesel,Automatyczna,Srebrny,Nie,Doskonały,"Tempomat, Bluetooth, Alufelgi"
Mercedes-Benz,A-Class,2017,123593.0,64334.37,LPG,Automatyczna,Czarny,Nie,Dobry,"Klimatyzacja, Podgrzewane fotele, Kamera cofania"
BMW,X3,2016,208126.0,74973.71,Benzyna,Manualna,Niebieski,Nie,Dobry,"Pakiet zimowy, Hak holowniczy, Dach panoramiczny"
Audi,A3,2016,169046.0,81716.45,Benzyna,Manualna,Czerwony,Nie,Zadowalający,"Full opcja: Navi, Kamera 360, Head-up display"
Kia,Ceed,2016,83512.0,91458.39,Diesel,Automatyczna,Srebrny,Nie,Bardzo dobry,"Klimatyzacja, Nawigacja, Bluetooth"
Audi,A6,2015,232817.0,27278.11,Benzyna,Automatyczna,Zielony,Nie,Bardzo dobry,"Tempomat, Bluetooth, Alufelgi"
BMW,5 Series,2021,33685.0,110327.11,LPG,Automatyczna,Szary,Nie,Bardzo dobry,"Klimatyzacja, Podgrzewane fotele, Kamera cofania"
Skoda,Octavia,2022,35344.0,128597.1,Benzyna,Automatyczna,Szary,Nie,Doskonały,"Tempomat, Bluetooth, Alufelgi"
Skoda,Superb,2019,136164.0,121082.22,Diesel,Manualna,Niebieski,Tak,Doskonały,"Nawigacja, Ksenony, Skórzana tapicerka"
BMW,1 Series,2019,51902.0,81302.1,Hybryda,Manualna,Biały,Nie,Bardzo dobry,"Nawigacja, Ksenony, Skórzana tapicerka"
Toyota,Yaris,2015,168386.0,76125.74,LPG,Automatyczna,Szary,Nie,Zadowalający,"Klimatyzacja, Podgrzewane fotele, Kamera cofania"
Mercedes-Benz,CLA,2020,96388.0,35637.97,Diesel,Automatyczna,Niebieski,Nie,Dobry,"Klimatyzacja automatyczna, LED, Parktronic"
